Symbol	NSE IK Key
HBLENGINE	NSE_EQ|INE292B01021
HCLTECH	NSE_EQ|INE860A01027
HDFCAMC	NSE_EQ|INE127D01025
HDFCBANK	NSE_EQ|INE040A01034
HDFCLIFE	NSE_EQ|INE795G01014
HFCL	NSE_EQ|INE548A01028
HAPPSTMNDS	NSE_EQ|INE419U01012
HAVELLS	NSE_EQ|INE176B01034
HEROMOTOCO	NSE_EQ|INE158A01026
HEXT	NSE_EQ|INE093A01041
HSCL	NSE_EQ|INE019C01026
HINDALCO	NSE_EQ|INE038A01020
HAL	NSE_EQ|INE066F01020
HINDCOPPER	NSE_EQ|INE531E01026
HINDPETRO	NSE_EQ|INE094A01015
HINDUNILVR	NSE_EQ|INE030A01027
HINDZINC	NSE_EQ|INE267A01025
POWERINDIA	NSE_EQ|INE07Y701011
HOMEFIRST	NSE_EQ|INE481N01025
HONASA	NSE_EQ|INE0J5401028
HONAUT	NSE_EQ|INE671A01010
HUDCO	NSE_EQ|INE031A01017
HYUNDAI	NSE_EQ|INE0V6F01027
ICICIBANK	NSE_EQ|INE090A01021
ICICIGI	NSE_EQ|INE765G01017
ICICIPRULI	NSE_EQ|INE726G01019
IDBI	NSE_EQ|INE008A01015
IDFCFIRSTB	NSE_EQ|INE092T01019
IFCI	NSE_EQ|INE039A01010
IIFL	NSE_EQ|INE530B01024
INOXINDIA	NSE_EQ|INE616N01034
IRB	NSE_EQ|INE821I01022
IRCON	NSE_EQ|INE962Y01021
ITCHOTELS	NSE_EQ|INE379A01028
ITC	NSE_EQ|INE154A01025
ITI	NSE_EQ|INE248A01017
INDGN	NSE_EQ|INE065X01017
INDIACEM	NSE_EQ|INE383A01012
INDIAMART	NSE_EQ|INE933S01016
INDIANB	NSE_EQ|INE562A01011
IEX	NSE_EQ|INE022Q01020
INDHOTEL	NSE_EQ|INE053A01029
IOC	NSE_EQ|INE242A01010
IOB	NSE_EQ|INE565A01014
IRCTC	NSE_EQ|INE335Y01020
IRFC	NSE_EQ|INE053F01010
IREDA	NSE_EQ|INE202E01016
IGL	NSE_EQ|INE203G01027
INDUSTOWER	NSE_EQ|INE121J01017
INDUSINDBK	NSE_EQ|INE095A01012
NAUKRI	NSE_EQ|INE663F01032
INFY	NSE_EQ|INE009A01021
INOXWIND	NSE_EQ|INE066P01011
INTELLECT	NSE_EQ|INE306R01017
INDIGO	NSE_EQ|INE646L01027
IGIL	NSE_EQ|INE0Q9301021
IKS	NSE_EQ|INE115Q01022
IPCALAB	NSE_EQ|INE571A01038
JBCHEPHARM	NSE_EQ|INE572A01036
JKCEMENT	NSE_EQ|INE823G01014
JBMA	NSE_EQ|INE927D01051
JKTYRE	NSE_EQ|INE573A01042
JMFINANCIL	NSE_EQ|INE780C01023
JSWENERGY	NSE_EQ|INE121E01018
JSWINFRA	NSE_EQ|INE880J01026
JSWSTEEL	NSE_EQ|INE019A01038
JPPOWER	NSE_EQ|INE351F01018
J&KBANK	NSE_EQ|INE168A01041
JINDALSAW	NSE_EQ|INE324A01032
JSL	NSE_EQ|INE220G01021
JINDALSTEL	NSE_EQ|INE749A01030
JIOFIN	NSE_EQ|INE758E01017
JUBLFOOD	NSE_EQ|INE797F01020
JUBLINGREA	NSE_EQ|INE0BY001018
JUBLPHARMA	NSE_EQ|INE700A01033
JWL	NSE_EQ|INE209L01016
JYOTHYLAB	NSE_EQ|INE668F01031
JYOTICNC	NSE_EQ|INE980O01024
KPRMILL	NSE_EQ|INE930H01031
KEI	NSE_EQ|INE878B01027
KPITTECH	NSE_EQ|INE04I401011
KSB	NSE_EQ|INE999A01023
KAJARIACER	NSE_EQ|INE217B01036
KPIL	NSE_EQ|INE220B01022
KALYANKJIL	NSE_EQ|INE303R01014
KARURVYSYA	NSE_EQ|INE036D01028
KAYNES	NSE_EQ|INE918Z01012
KEC	NSE_EQ|INE389H01022
KFINTECH	NSE_EQ|INE138Y01010
KIRLOSBROS	NSE_EQ|INE732A01036
KIRLOSENG	NSE_EQ|INE146L01010
KOTAKBANK	NSE_EQ|INE237A01036
KIMS	NSE_EQ|INE967H01025
LTF	NSE_EQ|INE498L01015
LTTS	NSE_EQ|INE010V01017
LICHSGFIN	NSE_EQ|INE115A01026
LTFOODS	NSE_EQ|INE818H01020
LTIM	NSE_EQ|INE214T01019
LT	NSE_EQ|INE018A01030
LATENTVIEW	NSE_EQ|INE0I7C01011
LAURUSLABS	NSE_EQ|INE947Q01028
THELEELA	NSE_EQ|INE0AQ201015
LEMONTREE	NSE_EQ|INE970X01018
LICI	NSE_EQ|INE0J1Y01017
LINDEINDIA	NSE_EQ|INE473A01011
LLOYDSME	NSE_EQ|INE281B01032
LODHA	NSE_EQ|INE670K01029
LUPIN	NSE_EQ|INE326A01037
MMTC	NSE_EQ|INE123F01029
MRF	NSE_EQ|INE883A01011
MGL	NSE_EQ|INE002S01010
MAHSCOOTER	NSE_EQ|INE288A01013
MAHSEAMLES	NSE_EQ|INE271B01025
M&MFIN	NSE_EQ|INE774D01024
M&M	NSE_EQ|INE101A01026
MANAPPURAM	NSE_EQ|INE522D01027
MRPL	NSE_EQ|INE103A01014
MANKIND	NSE_EQ|INE634S01028
MARICO	NSE_EQ|INE196A01026
MARUTI	NSE_EQ|INE585B01010
MFSL	NSE_EQ|INE180A01020
MAXHEALTH	NSE_EQ|INE027H01010
MAZDOCK	NSE_EQ|INE249Z01020
METROPOLIS	NSE_EQ|INE112L01020
MINDACORP	NSE_EQ|INE842C01021
MSUMI	NSE_EQ|INE0FS801015
MOTILALOFS	NSE_EQ|INE338I01027
MPHASIS	NSE_EQ|INE356A01018
MCX	NSE_EQ|INE745G01043
MUTHOOTFIN	NSE_EQ|INE414G01012
NATCOPHARM	NSE_EQ|INE987B01026
NBCC	NSE_EQ|INE095N01031
NCC	NSE_EQ|INE868B01028
NHPC	NSE_EQ|INE848E01016
NLCINDIA	NSE_EQ|INE589A01014
NMDC	NSE_EQ|INE584A01023
NSLNISP	NSE_EQ|INE0NNS01018
NTPCGREEN	NSE_EQ|INE0ONG01011
NTPC	NSE_EQ|INE733E01010
NH	NSE_EQ|INE410P01011
NATIONALUM	NSE_EQ|INE139A01034
NAVA	NSE_EQ|INE725A01030
NAVINFLUOR	NSE_EQ|INE048G01026
NESTLEIND	NSE_EQ|INE239A01024
NETWEB	NSE_EQ|INE0NT901020
NEULANDLAB	NSE_EQ|INE794A01010
NEWGEN	NSE_EQ|INE619B01017
NAM-INDIA	NSE_EQ|INE298J01013
NIVABUPA	NSE_EQ|INE995S01015
NUVAMA	NSE_EQ|INE531F01023
NUVOCO	NSE_EQ|INE118D01016
OBEROIRLTY	NSE_EQ|INE093I01010
ONGC	NSE_EQ|INE213A01029
OIL	NSE_EQ|INE274J01014
OLAELEC	NSE_EQ|INE0LXG01040
OLECTRA	NSE_EQ|INE260D01016
PAYTM	NSE_EQ|INE982J01020
ONESOURCE	NSE_EQ|INE013P01021
OFSS	NSE_EQ|INE881D01027
POLICYBZR	NSE_EQ|INE417T01026
PCBL	NSE_EQ|INE602A01031
PGEL	NSE_EQ|INE457L01029
PIIND	NSE_EQ|INE603J01030
PNBHOUSING	NSE_EQ|INE572E01012
PTCIL	NSE_EQ|INE596F01018
PVRINOX	NSE_EQ|INE191H01014
PAGEIND	NSE_EQ|INE761H01022
PATANJALI	NSE_EQ|INE619A01035
PERSISTENT	NSE_EQ|INE262H01021
PETRONET	NSE_EQ|INE347G01014
PFIZER	NSE_EQ|INE182A01018
PHOENIXLTD	NSE_EQ|INE211B01039
PIDILITIND	NSE_EQ|INE318A01026
PPLPHARMA	NSE_EQ|INE0DK501011
POLYMED	NSE_EQ|INE205C01021
POLYCAB	NSE_EQ|INE455K01017
POONAWALLA	NSE_EQ|INE511C01022
PFC	NSE_EQ|INE134E01011
POWERGRID	NSE_EQ|INE752E01010
PRAJIND	NSE_EQ|INE074A01025
PREMIERENE	NSE_EQ|INE0BS701011
PRESTIGE	NSE_EQ|INE811K01011
PGHH	NSE_EQ|INE179A01014
PNB	NSE_EQ|INE160A01022
RRKABEL	NSE_EQ|INE777K01022
RBLBANK	NSE_EQ|INE976G01028
RECLTD	NSE_EQ|INE020B01018
RHIM	NSE_EQ|INE743M01012
RITES	NSE_EQ|INE320J01015
RADICO	NSE_EQ|INE944F01028
RVNL	NSE_EQ|INE415G01027
RAILTEL	NSE_EQ|INE0DD101019
RAINBOW	NSE_EQ|INE961O01016
RKFORGE	NSE_EQ|INE399G01023
RCF	NSE_EQ|INE027A01015
REDINGTON	NSE_EQ|INE891D01026
RELIANCE	NSE_EQ|INE002A01018
RELINFRA	NSE_EQ|INE036A01016
RPOWER	NSE_EQ|INE614G01033
SBFC	NSE_EQ|INE423Y01016
SBICARD	NSE_EQ|INE018E01016
SBILIFE	NSE_EQ|INE123W01016
SJVN	NSE_EQ|INE002L01015
SKFINDIA	NSE_EQ|INE640A01023
SRF	NSE_EQ|INE647A01010
SAGILITY	NSE_EQ|INE0W2G01015
SAILIFE	NSE_EQ|INE570L01029
SAMMAANCAP	NSE_EQ|INE148I01020
MOTHERSON	NSE_EQ|INE775A01035
SAPPHIRE	NSE_EQ|INE806T01020
SARDAEN	NSE_EQ|INE385C01021
SAREGAMA	NSE_EQ|INE979A01025
SCHAEFFLER	NSE_EQ|INE513A01022
SCHNEIDER	NSE_EQ|INE839M01018
SCI	NSE_EQ|INE109A01011
SHREECEM	NSE_EQ|INE070A01015
SHRIRAMFIN	NSE_EQ|INE721A01047
SHYAMMETL	NSE_EQ|INE810G01011
ENRIN	NSE_EQ|INE1NPP01017
SIEMENS	NSE_EQ|INE003A01024
SIGNATURE	NSE_EQ|INE903U01023
SOBHA	NSE_EQ|INE671H01015
SOLARINDS	NSE_EQ|INE343H01029
SONACOMS	NSE_EQ|INE073K01018
SONATSOFTW	NSE_EQ|INE269A01021
STARHEALTH	NSE_EQ|INE575P01011
SBIN	NSE_EQ|INE062A01020
SAIL	NSE_EQ|INE114A01011
SUMICHEM	NSE_EQ|INE258G01013
SUNPHARMA	NSE_EQ|INE044A01036
SUNTV	NSE_EQ|INE424H01027
SUNDARMFIN	NSE_EQ|INE660A01013
SUNDRMFAST	NSE_EQ|INE387A01021
SUPREMEIND	NSE_EQ|INE195A01028
SUZLON	NSE_EQ|INE040H01021
SWANCORP	NSE_EQ|INE665A01038
SWIGGY	NSE_EQ|INE00H001014
SYNGENE	NSE_EQ|INE398R01022
SYRMA	NSE_EQ|INE0DYJ01015
TBOTEK	NSE_EQ|INE673O01025
TVSMOTOR	NSE_EQ|INE494B01023
TATACHEM	NSE_EQ|INE092A01019
TATACOMM	NSE_EQ|INE151A01013
TCS	NSE_EQ|INE467B01029
TATACONSUM	NSE_EQ|INE192A01025
TATAELXSI	NSE_EQ|INE670A01012
TATAINVEST	NSE_EQ|INE672A01026
TMPV	NSE_EQ|INE155A01022
TATAPOWER	NSE_EQ|INE245A01021
TATASTEEL	NSE_EQ|INE081A01020
TATATECH	NSE_EQ|INE142M01025
TTML	NSE_EQ|INE517B01013
TECHM	NSE_EQ|INE669C01036
TECHNOE	NSE_EQ|INE285K01026
TEJASNET	NSE_EQ|INE010J01012
NIACL	NSE_EQ|INE470Y01017
RAMCOCEM	NSE_EQ|INE331A01037
THERMAX	NSE_EQ|INE152A01029
TIMKEN	NSE_EQ|INE325A01013
TITAGARH	NSE_EQ|INE615H01020
TITAN	NSE_EQ|INE280A01028
TORNTPHARM	NSE_EQ|INE685A01028
TORNTPOWER	NSE_EQ|INE813H01021
TARIL	NSE_EQ|INE763I01026
TRENT	NSE_EQ|INE849A01020
TRIDENT	NSE_EQ|INE064C01022
TRIVENI	NSE_EQ|INE256C01024
TRITURBINE	NSE_EQ|INE152M01016
TIINDIA	NSE_EQ|INE974X01010
UCOBANK	NSE_EQ|INE691A01018
UNOMINDA	NSE_EQ|INE405E01023
UPL	NSE_EQ|INE628A01036
UTIAMC	NSE_EQ|INE094J01016
ULTRACEMCO	NSE_EQ|INE481G01011
UNIONBANK	NSE_EQ|INE692A01016
UBL	NSE_EQ|INE686F01025
UNITDSPR	NSE_EQ|INE854D01024
USHAMART	NSE_EQ|INE228A01035
VGUARD	NSE_EQ|INE951I01027
DBREALTY	NSE_EQ|INE879I01012
VTL	NSE_EQ|INE825A01020
VBL	NSE_EQ|INE200M01039
MANYAVAR	NSE_EQ|INE825V01034
VEDL	NSE_EQ|INE205A01025
VENTIVE	NSE_EQ|INE781S01027
VIJAYA	NSE_EQ|INE043W01024
VMM	NSE_EQ|INE01EA01019
IDEA	NSE_EQ|INE669E01016
VOLTAS	NSE_EQ|INE226A01021
WAAREEENER	NSE_EQ|INE377N01017
WELCORP	NSE_EQ|INE191B01025
WELSPUNLIV	NSE_EQ|INE192B01031
WHIRLPOOL	NSE_EQ|INE716A01013
WIPRO	NSE_EQ|INE075A01022
WOCKPHARMA	NSE_EQ|INE049B01025
YESBANK	NSE_EQ|INE528G01035
ZFCVINDIA	NSE_EQ|INE342J01019
ZEEL	NSE_EQ|INE256A01028
ZENTEC	NSE_EQ|INE251B01027
ZENSARTECH	NSE_EQ|INE520A01027
ZYDUSLIFE	NSE_EQ|INE010B01027
ECLERX	NSE_EQ|INE738I01010
AGI	NSE_EQ|INE415A01038
ASKAUTOLTD	NSE_EQ|INE491J01022
AARTIDRUGS	NSE_EQ|INE767A01016
AARTIPHARM	NSE_EQ|INE0LRU01027
ACUTAAS	NSE_EQ|INE00FF01025
ADVENZYMES	NSE_EQ|INE837H01020
AETHER	NSE_EQ|INE0BWX01014
AHLUCONT	NSE_EQ|INE758C01029
AJAXENGG	NSE_EQ|INE274Y01021
ALIVUS	NSE_EQ|INE03Q201024
ALLCARGO	NSE_EQ|INE418H01029
ABDL	NSE_EQ|INE552Z01027
ANURAS	NSE_EQ|INE930P01018
PARKHOTELS	NSE_EQ|INE988S01028
ACI	NSE_EQ|INE128X01021
ARVINDFASN	NSE_EQ|INE955V01021
ARVIND	NSE_EQ|INE034A01011
ASHOKA	NSE_EQ|INE442H01029
ASTRAMICRO	NSE_EQ|INE386C01029
AURIONPRO	NSE_EQ|INE132H01018
AVALON	NSE_EQ|INE0LCL01028
AVANTIFEED	NSE_EQ|INE871C01038
AWFIS	NSE_EQ|INE108V01019
AZAD	NSE_EQ|INE02IJ01035
BAJAJELEC	NSE_EQ|INE193E01025
BALAMINES	NSE_EQ|INE050E01027
BALUFORGE	NSE_EQ|INE011E01029
BANCOINDIA	NSE_EQ|INE213C01025
BELRISE	NSE_EQ|INE894V01022
BBL	NSE_EQ|INE464A01036
BIRLACORPN	NSE_EQ|INE340A01012
BLACKBUCK	NSE_EQ|INE0UIZ01018
BORORENEW	NSE_EQ|INE666D01022
BOSCH-HCIL	NSE_EQ|INE782A01015
CIEINDIA	NSE_EQ|INE536H01010
CMSINFO	NSE_EQ|INE925R01014
CSBBANK	NSE_EQ|INE679A01013
CARTRADE	NSE_EQ|INE290S01011
CEIGALL	NSE_EQ|INE0AG901020
CELLO	NSE_EQ|INE0LMW01024
CEMPRO	NSE_EQ|INE686A01026
CIGNITITEC	NSE_EQ|INE675C01017
CYIENTDLM	NSE_EQ|INE055S01018
DCBBANK	NSE_EQ|INE503A01015
DATAMATICS	NSE_EQ|INE365B01017
DHANUKA	NSE_EQ|INE435G01025
DIACABS	NSE_EQ|INE989C01038
DBL	NSE_EQ|INE917M01012
DCAL	NSE_EQ|INE385W01011
DODLA	NSE_EQ|INE021O01019
DUMMYALCAR	NSE_EQ|DUM418H01029
DUMMYHDLVR	NSE_EQ|DUM030A01027
DYNAMATECH	NSE_EQ|INE221B01012
EPL	NSE_EQ|INE255A01020
EASEMYTRIP	NSE_EQ|INE07O001026
EDELWEISS	NSE_EQ|INE532F01054
EMIL	NSE_EQ|INE02YR01019
ELECTCAST	NSE_EQ|INE086A01029
EMBDL	NSE_EQ|INE069I01010
ENTERO	NSE_EQ|INE010601016
EIEL	NSE_EQ|INE0LLY01014
EPIGRAL	NSE_EQ|INE071N01016
EQUITASBNK	NSE_EQ|INE063P01018
ETHOSLTD	NSE_EQ|INE04TZ01018
EUREKAFORB	NSE_EQ|INE0KCE01017
FDC	NSE_EQ|INE258B01022
FIEMIND	NSE_EQ|INE737H01014
FINEORG	NSE_EQ|INE686Y01026
GRINFRA	NSE_EQ|INE201P01022
GHCL	NSE_EQ|INE539A01019
GMMPFAUDLR	NSE_EQ|INE541A01023
GMRP&UI	NSE_EQ|INE0CU601026
GABRIEL	NSE_EQ|INE524A01029
GALLANTT	NSE_EQ|INE297H01019
GANESHHOU	NSE_EQ|INE460C01014
GANECOS	NSE_EQ|INE845D01014
GRWRHITECH	NSE_EQ|INE291A01017
GARFIBRES	NSE_EQ|INE276A01018
GATEWAY	NSE_EQ|INE079J01017
GOKEX	NSE_EQ|INE887G01027
GREAVESCOT	NSE_EQ|INE224A01026
GREENPANEL	NSE_EQ|INE08ZM01014
GAEL	NSE_EQ|INE036B01030
GNFC	NSE_EQ|INE113A01013
GPPL	NSE_EQ|INE517F01014
GSFC	NSE_EQ|INE026A01025
GULFOILLUB	NSE_EQ|INE635Q01029
HGINFRA	NSE_EQ|INE926X01010
HCG	NSE_EQ|INE075I01017
HEMIPROP	NSE_EQ|INE0AJG01018
HERITGFOOD	NSE_EQ|INE978A01027
HIKAL	NSE_EQ|INE475B01022
HCC	NSE_EQ|INE549A01026
IFBIND	NSE_EQ|INE559A01017
IIFLCAPS	NSE_EQ|INE489L01022
IMAGICAA	NSE_EQ|INE172N01012
INDIAGLYCO	NSE_EQ|INE560A01023
INDIASHLTR	NSE_EQ|INE922K01024
IMFA	NSE_EQ|INE919H01018
INDIGOPNTS	NSE_EQ|INE09VQ01012
ICIL	NSE_EQ|INE483B01026
INFIBEAM	NSE_EQ|INE483S01020
INGERRAND	NSE_EQ|INE177A01018
INNOVACAP	NSE_EQ|INE0DUT01020
INOXGREEN	NSE_EQ|INE510W01014
IONEXCHANG	NSE_EQ|INE570A01022
ISGEC	NSE_EQ|INE858B01029
JKIL	NSE_EQ|INE576I01022
JKLAKSHMI	NSE_EQ|INE786A01032
JKPAPER	NSE_EQ|INE789E01012
JAIBALAJI	NSE_EQ|INE091G01026
JISLJALEQS	NSE_EQ|INE175A01038
JAMNAAUTO	NSE_EQ|INE039C01032
JSFB	NSE_EQ|INE953L01027
JINDWORLD	NSE_EQ|INE247D01039
JUSTDIAL	NSE_EQ|INE599M01018
KNRCON	NSE_EQ|INE634I01029
KPIGREEN	NSE_EQ|INE542W01025
KRBL	NSE_EQ|INE001B01026
KRN	NSE_EQ|INE0Q3J01015
KSL	NSE_EQ|INE907A01026
KANSAINER	NSE_EQ|INE531A01024
KTKBANK	NSE_EQ|INE614B01018
KSCL	NSE_EQ|INE455I01029
KIRLPNU	NSE_EQ|INE811A01020
KITEX	NSE_EQ|INE602G01020
LMW	NSE_EQ|INE269B01029
